model,folder,instance_id,k,reached,resolved,n_assistant_prefix,n_calls_prefix,n_repo_edits_prefix,n_edit_files_prefix,edit_churn_prefix,call_unique_ratio_prefix,n_read_prefix,n_edit_prefix,n_search_prefix,n_test_prefix,n_git_prefix,n_install_prefix,n_other_prefix
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-12907,5,1,True,5,6,0,0,0.0,1.0,0,0,1,3,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-12907,10,1,True,10,11,0,0,0.0,0.9090909090909091,0,0,1,6,0,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-12907,20,1,True,20,21,1,1,0.0,0.9523809523809523,0,1,1,10,0,9,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-12907,30,1,True,30,31,1,1,0.0,0.967741935483871,0,2,1,16,1,11,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-12907,50,0,True,32,33,1,1,0.0,0.9696969696969697,2,2,1,16,1,11,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-12907,75,0,True,32,33,1,1,0.0,0.9696969696969697,2,2,1,16,1,11,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13033,5,1,True,5,6,0,0,0.0,0.8333333333333334,0,0,1,4,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13033,10,1,True,10,11,0,0,0.0,0.8181818181818182,0,0,1,5,0,5,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13033,20,1,True,20,21,0,0,0.0,0.8571428571428571,0,0,2,6,1,12,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13033,30,1,True,30,31,0,0,0.0,0.8064516129032258,0,2,3,10,1,15,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13033,50,1,True,50,51,1,1,0.0,0.8823529411764706,0,3,4,25,1,18,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13033,75,0,True,56,57,1,1,0.0,0.8947368421052632,2,4,4,27,2,18,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13236,5,1,False,5,7,0,0,0.0,1.0,0,0,1,6,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13236,10,1,False,10,13,0,0,0.0,1.0,0,0,1,12,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13236,20,1,False,20,23,0,0,0.0,1.0,0,1,1,18,0,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13236,30,1,False,30,33,0,0,0.0,1.0,0,2,1,25,1,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13236,50,0,False,38,42,0,0,0.0,0.9761904761904762,2,3,1,30,2,4,0
